City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
128,Huarmey,24.2667,87.25,297.5,10,0,2.15,IN,2021-04-02 21:21:50
129,Huarmey,59.7035,30.7861,274.82,93,0,1.46,RU,2021-04-02 21:21:50
130,Huarmey,41.1501,-82.5499,277.59,34,1,0.45,US,2021-04-02 21:21:50
131,Huarmey,9.285,105.7244,300.76,78,66,2.86,VN,2021-04-02 21:21:50
132,Huarmey,17.4897,104.1006,299.06,69,12,1.64,TH,2021-04-02 21:21:51
133,Huarmey,-8.9266,125.4092,289.12,97,100,1.38,TL,2021-04-02 21:21:51
134,Huarmey,-43.3002,-65.1023,295.06,52,80,9.44,AR,2021-04-02 21:21:51
135,Huarmey,4.375,-7.7169,299.58,88,29,3.95,LR,2021-04-02 21:21:52
136,Huarmey,-0.6,73.0833,301.84,75,85,8.8,MV,2021-04-02 21:21:52
137,Huarmey,27.0377,14.4283,293.59,21,0,3.92,LY,2021-04-02 21:21:52
138,Huarmey,-7.3,27.4167,294.36,89,16,1.52,CD,2021-04-02 21:21:53
139,Huarmey,27.6881,111.4294,284.67,92,100,1.87,CN,2021-04-02 21:21:53
140,Huarmey,31.4859,106.1128,284.16,87,100,1.59,CN,2021-04-02 21:21:53
141,Huarmey,39.8161,109.9776,274.18,49,98,5.95,CN,2021-04-02 21:21:54
142,Huarmey,57.0531,-135.33,276.15,81,90,0.66,US,2021-04-02 21:21:45
143,Huarmey,-14.48,-70.6411,282.2,70,100,4.32,PE,2021-04-02 21:21:54
144,Huarmey,48.6254,44.0449,277.15,81,0,3.0,RU,2021-04-02 21:21:54
145,Huarmey,50.6501,-104.8678,287.59,21,20,3.6,CA,2021-04-02 21:21:55
146,Huarmey,-21.0096,55.2707,298.15,83,75,6.69,RE,2021-04-02 21:21:55
147,Huarmey,-46.1333,167.6833,281.48,85,100,1.79,NZ,2021-04-02 21:21:55
148,Huarmey,-15.8631,-38.8828,302.15,79,75,2.06,BR,2021-04-02 21:21:56
149,Huarmey,21.3156,-158.0072,300.15,50,75,4.12,US,2021-04-02 21:21:56
150,Huarmey,27.1467,57.0801,296.15,78,0,3.09,IR,2021-04-02 21:21:56
151,Huarmey,64.1835,-51.7216,265.15,86,75,6.69,GL,2021-04-02 21:21:57
152,Huarmey,-21.2078,-159.775,302.15,70,31,7.2,CK,2021-04-02 21:21:57
153,Huarmey,60.5544,-151.2583,270.15,54,1,1.43,US,2021-04-02 21:19:21
154,Huarmey,32.6667,-17.1,290.15,72,40,3.09,PT,2021-04-02 21:21:57
155,Huarmey,53.6942,88.0603,267.64,93,100,1.57,RU,2021-04-02 21:21:58
156,Huarmey,49.1447,56.4872,275.67,81,100,8.93,KZ,2021-04-02 21:21:58
157,Huarmey,40.5982,-124.1573,288.71,82,1,5.66,US,2021-04-02 21:21:45
158,Huarmey,60.05,69.9,273.32,95,100,3.63,RU,2021-04-02 21:21:58
159,Huarmey,62.1077,10.6307,271.15,80,75,8.75,NO,2021-04-02 21:21:59
160,Huarmey,-2.5744,150.7967,301.59,77,99,3.89,PG,2021-04-02 21:21:59
161,Huarmey,-22.6667,167.4833,296.87,86,100,14.49,NC,2021-04-02 21:21:59
162,Huarmey,5.8808,-10.0467,300.15,94,20,2.85,LR,2021-04-02 21:19:23
163,Huarmey,-9.6567,120.2641,298.55,88,100,4.25,ID,2021-04-02 21:22:00
164,Huarmey,35.1333,140.3,288.15,72,20,2.06,JP,2021-04-02 21:22:00
165,Huarmey,36.6167,101.7667,272.62,90,100,1.6,CN,2021-04-02 21:22:01
166,Huarmey,15.1167,108.8,296.26,94,34,1.35,VN,2021-04-02 21:22:01
167,Huarmey,-0.3167,102.35,296.29,93,71,1.17,ID,2021-04-02 21:22:01
168,Huarmey,69.2167,-51.1,260.15,61,75,3.6,GL,2021-04-02 21:22:01
