City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
257,Doume,CM,4.2333,13.45,72.05,75,49,3.24,scattered clouds
258,Mayo,US,38.8876,-76.5119,63.0,59,1,8.05,clear sky
259,Ambon,ID,-3.6954,128.1814,84.2,79,20,3.44,few clouds
260,Pa Sang,TH,18.5262,98.9394,80.01,99,0,1.52,clear sky
261,Urucui,BR,-7.2294,-44.5561,81.52,61,80,0.69,broken clouds
262,Antigonish,CA,45.6169,-61.9986,39.99,92,100,3.0,overcast clouds
263,Pasni,PK,25.2631,63.471,80.2,33,0,8.19,clear sky
264,Matagami,CA,49.7502,-77.6328,48.2,49,90,5.75,overcast clouds
265,Zhigalovo,RU,54.8097,105.1578,38.01,80,100,3.85,overcast clouds
266,Ayan,RU,56.45,138.1667,24.53,88,100,14.85,light snow
267,Hithadhoo,MV,-0.6,73.0833,82.89,66,57,10.87,broken clouds
268,Muana,BR,-1.5283,-49.2167,76.87,90,91,4.38,overcast clouds
269,Yazman,PK,29.1212,71.7446,71.13,30,0,8.48,clear sky
270,Sitka,US,57.0531,-135.33,39.2,60,40,13.8,light snow
271,Ilulissat,GL,69.2167,-51.1,12.2,67,75,4.61,broken clouds
272,Christchurch,NZ,-43.5333,172.6333,66.99,55,5,3.44,clear sky
273,Sabla,NG,12.7525,4.7077,87.17,13,15,5.57,few clouds
274,Cozumel,MX,20.5083,-86.9458,80.01,73,75,6.91,broken clouds
275,Abu Dhabi,AE,24.4667,54.3667,71.6,88,0,3.44,clear sky
276,Okmulgee,US,35.6234,-95.9605,55.4,50,90,14.97,overcast clouds
277,Ulyanovsk,RU,54.0,48.0,39.2,87,90,11.18,light rain
278,Dali,CN,25.7,100.1833,58.32,61,15,3.62,few clouds
279,Marzuq,YE,14.4,46.4667,65.41,29,2,3.62,clear sky
280,Terney,RU,45.0503,136.6092,30.65,37,100,12.06,overcast clouds
281,Tyukhtet,RU,56.5389,89.3011,31.55,96,100,8.68,light snow
282,Kutum,SD,14.2,24.6667,72.45,8,95,8.46,overcast clouds
283,Sapele,NG,5.8941,5.6767,78.64,91,73,2.53,broken clouds
284,Poronaysk,RU,49.2167,143.1167,32.2,75,100,16.93,overcast clouds
285,Kalianget,ID,-7.05,113.9333,82.17,82,100,14.85,overcast clouds
286,Leningradskiy,RU,69.3833,178.4167,-5.71,90,76,9.48,broken clouds
287,Tabou,CI,4.423,-7.3528,79.52,88,60,5.44,light rain
288,Bredasdorp,ZA,-34.5322,20.0403,55.4,94,78,1.14,broken clouds
289,Sept-Iles,CA,50.2001,-66.3821,44.01,87,75,3.44,broken clouds
290,Svetlaya,RU,46.5389,138.3297,33.64,33,27,2.06,scattered clouds
291,Nuevo Progreso,MX,23.1667,-97.95,79.0,88,0,4.0,clear sky
292,Constantine,DZ,36.365,6.6147,44.6,81,75,5.75,broken clouds
293,Ancud,CL,-41.8697,-73.8203,55.0,88,100,13.0,overcast clouds
294,Ilhabela,BR,-23.7781,-45.3581,73.26,82,64,12.95,broken clouds
295,Dolores,AR,-36.3132,-57.6792,66.67,88,0,8.25,clear sky
296,Clifton,US,40.8584,-74.1638,63.0,39,1,6.91,clear sky
297,Daru,PG,-9.0763,143.2092,79.23,82,98,9.75,overcast clouds
298,Iskateley,RU,67.6803,53.1512,33.35,96,100,11.7,overcast clouds
299,Venice,US,27.0998,-82.4543,72.0,73,1,4.61,clear sky
300,Vilcun,CL,-38.65,-72.2333,53.6,87,0,3.44,clear sky
301,Tolaga Bay,NZ,-38.3667,178.3,67.1,66,14,5.7,few clouds
302,Ende,ID,-8.8432,121.6623,83.77,74,54,1.95,broken clouds
303,Mahibadhoo,MV,3.7833,72.9667,81.86,73,11,7.56,few clouds
304,Shakawe,BW,-18.3667,21.85,71.82,49,74,6.69,broken clouds
305,Saint George,US,37.1041,-113.5841,80.01,7,1,9.22,clear sky
306,Pimenta Bueno,BR,-11.6725,-61.1936,73.31,96,100,3.04,overcast clouds
307,Rome,US,34.257,-85.1647,75.2,46,75,4.61,broken clouds
308,Porto Santo,PT,33.072,-16.3415,64.4,88,40,4.61,scattered clouds
309,Rockland,US,41.1668,-74.0496,61.0,52,1,5.23,clear sky
310,Necochea,AR,-38.5473,-58.7368,75.0,74,73,8.99,broken clouds
311,Macheng,CN,31.1783,115.0319,57.2,73,95,8.25,overcast clouds
312,Cururupu,BR,-1.8283,-44.8683,77.72,86,100,2.44,overcast clouds
313,Lagunas,PE,-5.2269,-75.6753,73.22,99,95,2.66,overcast clouds
314,Lorengau,PG,-2.0226,147.2712,81.59,81,100,14.25,overcast clouds
315,Carnarvon,AU,-24.8667,113.6333,77.0,69,5,21.85,clear sky
316,Mehamn,NO,71.0357,27.8492,25.66,86,45,13.24,scattered clouds
317,Fortuna,US,40.5982,-124.1573,53.01,71,90,11.5,overcast clouds
318,Iquique,CL,-20.2208,-70.1431,68.0,73,90,10.36,overcast clouds
